Date (BST),Japan,China,South Korea,Chinese Taipei,India,United Kingdom,France,Belgium,Spain,Turkey,Mexico (Altamira),Mexico (Manzanillo),Argentina,Brazil (Salvador),Egypt (Ain Sukhna)
2025-09-15 00:00:00,10.37,10.3,10.36,10.29,10.0075,10.131842702580196,10.151842702580195,10.141842702580195,10.155080899017193,10.005080899017193,10.7275,10.2675,10.1775,10.3575,10.1675
2025-09-22 00:00:00,10.14,10.07,10.13,10.07,9.7375,10.188618581423759,10.20861858142376,10.188618581423759,10.193046408660182,10.043046408660183,10.5375,10.0975,10.0275,10.1975,9.8575
2025-09-29 00:00:00,9.58,9.51,9.57,9.5,9.45,9.99700476645787,10.00700476645787,9.99700476645787,9.953900245739861,9.81390024573986,10.24,9.81,9.74,9.91,9.55
2025-10-06 00:00:00,9.97,9.9,9.96,9.89,9.58,9.867721917637933,9.887721917637935,9.867721917637933,9.833753360046408,9.693753360046408,10.37,9.94,9.87,10.04,9.64
2025-10-13 00:00:00,9.99,9.92,9.98,9.91,9.3275,9.84318658866945,9.86318658866945,9.84318658866945,9.778616527467854,9.628616527467853,10.215,9.765,9.675,9.855,9.4275
2025-10-20 00:00:00,10.01,9.92,10.0,9.92,9.28,9.786521240243854,9.806521240243853,9.796521240243854,9.769516179035069,9.609516179035069,10.43,9.96,9.84,10.04,9.43
2025-10-27 00:00:00,9.48,9.36,9.46,9.35,8.83,9.592574336250301,9.622574336250302,9.602574336250301,9.582706894259916,9.342706894259916,10.23,9.64,9.38,9.67,9.11
2025-11-03 00:00:00,9.51,9.4,9.5,9.39,9.08,9.420244293158664,9.450244293158663,9.430244293158664,9.471022195024696,9.231022195024698,10.14,9.56,9.32,9.6,9.35
2025-11-10 00:00:00,9.08,8.93,9.06,8.92,8.54,9.186698852169341,9.21669885216934,9.186698852169341,9.231349383513642,8.921349383513641,9.84,9.15,8.76,9.12,8.94
2025-11-17 00:00:00,9.19,9.0,9.17,8.99,8.59,8.898272499717981,8.948272499717982,8.918272499717983,8.94451762698277,8.564517626982772,10.01,9.2,8.66,9.11,9.12
2025-11-24 00:00:00,8.46,8.28,8.44,8.26,8.1725,8.740118634316167,8.780118634316167,8.750118634316166,8.78565732884651,8.40565732884651,9.4,8.59,8.06,8.51,8.7025
2025-12-01 00:00:00,8.3,8.13,8.28,8.11,7.82,8.377378819831517,8.417378819831518,8.377378819831517,8.46794465069233,8.097944650692328,9.07,8.29,7.78,8.22,8.32
2025-12-08 00:00:00,7.89,7.73,7.87,7.72,7.4,7.950503025952766,7.980503025952766,7.950503025952766,7.990512319650732,7.670512319650732,8.68,7.96,7.53,7.92,7.87
2025-12-15 00:00:00,7.71,7.58,7.69,7.56,7.06,8.144306421553699,8.164306421553698,8.134306421553699,8.106473878089302,7.8364738780893015,8.9,8.26,7.94,8.26,7.5
2025-12-22 00:00:00,7.9,7.78,7.89,7.77,7.37,8.383530736757953,8.403530736757952,8.373530736757953,8.496788504591734,8.236788504591734,9.12,8.51,8.21,8.52,7.78
2025-12-29 00:00:00,8.02,7.91,8.01,7.9,,8.421050392593193,8.441050392593192,8.411050392593193,8.564531278981145,8.324531278981144,,,,,
2026-01-05 00:00:00,8.17,8.08,8.16,8.07,7.575,8.81736846471205,8.81736846471205,8.79736846471205,8.678635722588751,8.483635722588751,9.1725,8.6525,8.4775,8.7125,7.875
2026-01-12 00:00:00,8.945,8.865,8.935,8.855,8.12,9.405310797101754,9.400310797101755,9.385310797101754,9.301805620505965,9.131805620505965,10.355,9.875,9.75,9.955,8.365
2026-01-19 00:00:00,10.325,10.26,10.32,10.25,9.6,11.239903251550038,11.239903251550038,11.219903251550036,11.427425051475247,11.282425051475247,12.035,11.595,11.515,11.69,9.73
2026-01-26 00:00:00,10.6,10.535,10.59,10.525,9.91,12.489729872925617,12.479729872925617,12.469729872925617,12.669761385087556,12.529761385087555,12.86,12.42,12.35,12.52,10.04
2026-02-02 00:00:00,9.765,9.705,9.76,9.7,9.245,11.457671180906313,11.447671180906314,11.437671180906314,11.446646966572263,11.316646966572263,11.87,11.44,11.385,11.55,9.385
2026-02-09 00:00:00,9.65,9.585,9.64,9.575,9.105,10.281319910878313,10.271319910878313,10.261319910878314,10.423966381525444,10.278966381525445,11.3375,10.8975,10.8275,10.9975,9.275
2026-02-16 00:00:00,9.395,9.31,9.385,9.305,8.75,9.473336790583561,9.47833679058356,9.46333679058356,9.294860882887088,9.119860882887087,10.045,9.565,9.43,9.64,9.015
2026-02-23 00:00:00,10.01,9.91,9.99,9.9,8.67,9.187706729648522,9.207706729648521,9.197706729648521,9.219130283337773,9.019130283337773,9.7725,9.2525,9.0625,9.3025,8.99
2026-03-02 00:00:00,19.051666666666666,18.786666666666665,19.018333333333334,18.76,15.061666666666667,11.529270626951105,11.662603960284438,11.614270626951104,11.481823763787368,10.966823763787367,14.488333333333333,13.471666666666666,12.66,13.281666666666666,15.963333333333333
2026-03-09 00:00:00,16.125714285714285,15.861428571428572,16.09285714285714,15.84142857142857,17.077142857142857,15.42494553408051,15.542088391223368,15.496374105509084,15.144893978008211,14.649179692293925,16.735714285714284,15.745714285714286,14.97,15.56857142857143,17.958571428571428
2026-03-16 00:00:00,22.004285714285714,21.75,21.972857142857144,21.725714285714286,15.372142857142856,15.838680880170793,15.967252308742221,15.924395165885079,15.98405585677494,15.49405585677494,17.146071428571428,16.170357142857142,15.416071428571428,16.000357142857144,16.23785714285714
2026-03-23 00:00:00,16.5,16.285714285714285,16.472857142857144,16.267142857142858,16.82,16.52956411349245,16.606706970635308,16.56670697063531,16.94646265403521,16.522176939749492,18.444285714285716,17.57,16.94142857142857,17.452857142857145,17.55142857142857
2026-03-30 00:00:00,16.5425,16.3575,16.5175,16.34,16.1275,16.50219703223179,16.54469703223179,16.51219703223179,16.96305362863559,16.58805362863559,16.775,15.9775,15.4375,15.8925,16.77
2026-04-06 00:00:00,14.72,14.55,14.7,14.54,14.7,15.686372678828162,15.706372678828162,15.676372678828162,16.574047315987425,16.224047315987427,15.97,15.2,14.72,15.14,15.3
2026-04-13 00:00:00,13.69,13.51,13.67,13.5,13.61,13.845870887806935,13.875870887806935,13.835870887806935,14.6108032262595,14.240803226259501,14.35,13.56,13.04,13.48,14.23
2026-04-20 00:00:00,14.34,14.16,14.32,14.15,12.97,13.100637742450507,13.130637742450507,13.100637742450507,13.077089203211228,12.717089203211229,14.26,13.47,12.95,13.4,13.55
2026-04-27 00:00:00,15.45,15.27,15.43,15.26,14.3675,13.864514653675332,13.914514653675331,13.874514653675332,13.78770823873529,13.42770823873529,15.58,14.8,14.29,14.73,14.8875
2026-05-04 00:00:00,14.58,14.41,14.56,14.39,14.225,14.321686581039568,14.361686581039567,14.331686581039568,14.432031975281637,14.072031975281638,15.005,14.235,13.735,14.165,14.735
2026-05-11 00:00:00,15.5,15.32,15.48,15.31,14.98,14.146551932075402,14.206551932075403,14.176551932075402,14.351114864634052,14.001114864634053,15.91,15.15,14.67,15.09,15.47
2026-05-18 00:00:00,16.4,16.22,16.38,16.21,15.99,15.34351331438902,15.41351331438902,15.373513314389019,15.345856482514797,14.985856482514798,17.15,16.37,15.86,16.3,16.51
2026-05-25 00:00:00,15.77,15.58,15.74,15.56,15.01,15.310176640120517,15.370176640120517,15.330176640120516,15.559698555746841,15.18969855574684,16.08,15.29,14.77,15.22,15.58
2026-06-01 00:00:00,16.34,16.16,16.32,16.14,15.31,14.930622184208252,15.000622184208252,14.970622184208253,14.99520921886866,14.625209218868658,16.51,15.73,15.21,15.65,15.91
2026-06-08 00:00:00,16.71,16.52,16.69,16.51,15.76,15.620282386788443,15.700282386788443,15.660282386788444,15.819483371418201,15.449483371418202,16.89,16.1,15.59,16.03,16.35
2026-06-15 00:00:00,13.3,13.15,13.28,13.14,13.52,14.41293308605821,14.452933086058211,14.42293308605821,14.720334053356979,14.420334053356978,14.53,13.85,13.47,13.83,13.99
2026-06-22 00:00:00,13.28,13.13,13.27,13.12,12.63,13.118355804076806,13.168355804076807,13.138355804076806,13.355571499096753,13.055571499096752,14.01,13.32,12.92,13.29,13.07
